Business Name,Contact Name,Phone,Email,Website,City,State,Zip,Lead Score,Category,Monthly Retainer Value,Rating,Review Count,Has Email,Urgency,Flags,Pain Points / Notes,Source URL
Best Home Savings,,,,,San Antonio,TX,,95,Plumbing,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Best Home Savings has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Plumbing in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Best+Home+Savings+San+Antonio+TX
San Antonio Plumbing Co,,,,,San Antonio,TX,,95,Plumbing,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: San Antonio Plumbing Co has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Plumbing in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/San+Antonio+Plumbing+Co+San+Antonio+TX
Will Fix It,,,,,San Antonio,TX,,95,Plumbing,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Will Fix It has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Plumbing in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Will+Fix+It+San+Antonio+TX
Cor Plumbing,,,,,San Antonio,TX,,95,Plumbing,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Cor Plumbing has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Plumbing in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Cor+Plumbing+San+Antonio+TX
Royal Flush Sewer & Plumbing,,,,,San Antonio,TX,,95,Plumbing,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Royal Flush Sewer & Plumbing has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Plumbing in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Royal+Flush+Sewer+%26+Plumbing+San+Antonio+TX
Will Fix It,,(833) 947-9225,,,"San Antonio, TX 78247",TX,,95,Plumbing,"$3,500",0.0,1,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Will Fix It has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Plumbing in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Will+Fix+It+San+Antonio+TX
Best Home Savings,,(855) 566-6978,,,San Antonio,TX,,95,Plumbing,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Best Home Savings has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Plumbing in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Best+Home+Savings+San+Antonio+TX
Compare HVAC Experts,,,,,San Antonio,TX,,95,HVAC,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Compare HVAC Experts has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: HVAC in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Compare+HVAC+Experts+San+Antonio+TX
Best Home Savings,,(855) 566-5921,,,San Antonio,TX,,95,HVAC,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Best Home Savings has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: HVAC in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Best+Home+Savings+San+Antonio+TX
Compare HVAC Experts,,(855) 403-2011,,,San Antonio,TX,,95,HVAC,"$3,500",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Compare HVAC Experts has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: HVAC in San Antonio with estimated retainer value of $3,500/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Compare+HVAC+Experts+San+Antonio+TX
Compare Roofing Experts,,,,,San Antonio,TX,,95,Roofing,"$4,000",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Compare Roofing Experts has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Roofing in San Antonio with estimated retainer value of $4,000/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Compare+Roofing+Experts+San+Antonio+TX
Accu-Rite Roofing and Construction Services,,,,,San Antonio,TX,,95,Roofing,"$4,000",0.0,1,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Accu-Rite Roofing and Construction Services has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Roofing in San Antonio with estimated retainer value of $4,000/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Accu-Rite+Roofing+and+Construction+Services+San+Antonio+TX
Iron Clad Metal Roof Systems Plus LLC,,,,,San Antonio,TX,,95,Roofing,"$4,000",0.0,0,No,HIGH,No website; Almost no reviews; No ads detected; Weak SEO signals; High urgency niche; High retainer potential ($3k+/mo),"PAIN: Iron Clad Metal Roof Systems Plus LLC has no working website — losing every lead searching online; has almost no online reviews — invisible to new customers; is running zero paid ads — competitors are capturing all the paid traffic. | OPPORTUNITY: Roofing in San Antonio with estimated retainer value of $4,000/mo. High competition niche where digital presence = phone calls. | PITCH: Lead with website build + SEO package. Show them competitors who rank #1 and ask how many calls they think that generates.",https://www.google.com/maps/search/Iron+Clad+Metal+Roof+Systems+Plus+LLC+San+Antonio+TX
